Medlemsnummer,Postnummer,Postort,Land
3355862,175 69,Järfälla,Sverige
3343133,175 69,Järfälla,Sverige
3306414,176 66,Järfälla,Sverige
3417650,176 70,Järfälla,Sverige
3348629,176 70,Järfälla,Sverige
3252768,176 76,Järfälla,Sverige
3346839,177 39,Järfälla,Sverige
3298957,177 41,Järfälla,Sverige
3461715,177 46,Järfälla,Sverige
3091491,177 59,Järfälla,Sverige
3305550,177 59,Järfälla,Sverige
3361647,177 60,Järfälla,Sverige
3003724,177 61,Järfälla,Sverige
3395400,177 61,Järfälla,Sverige
3333476,177 61,Järfälla,Sverige
3048415,178 33,Ekerö,Sverige
3153588,178 33,Ekerö,Sverige
3310041,178 38,Ekerö,Sverige
3405462,178 41,Ekerö,Sverige
3362680,178 51,Ekerö,Sverige
3401249,178 93,Drottningholm,Sverige
3370331,178 93,Drottningholm,Sverige
3277576,179 61,Stenhamra,Sverige
3340476,179 61,Stenhamra,Sverige
3433573,181 31,Lidingö,Sverige
3309321,181 32,Lidingö,Sverige
3367036,181 32,Lidingö,Sverige
3308511,181 39,Lidingö,Sverige
3365583,181 39,Lidingö,Sverige
3497726,181 39,Lidingö,Sverige
3429327,181 46,Lidingö,Sverige
3364108,181 46,Lidingö,Sverige
3329576,181 46,Lidingö,Sverige
3327189,181 56,Lidingö,Sverige
3353477,181 58,Lidingö,Sverige
3374718,181 60,Lidingö,Sverige
3429537,181 60,Lidingö,Sverige
3294368,181 60,Lidingö,Sverige
3397960,181 62,Lidingö,Sverige
3367686,181 67,Lidingö,Sverige
3357948,182 33,Danderyd,Sverige
3358593,182 33,Danderyd,Sverige
3376005,182 36,Danderyd,Sverige
3357950,182 38,Danderyd,Sverige
3358592,182 39,Danderyd,Sverige
3383504,182 48,Enebyberg,Sverige
3378468,182 56,Danderyd,Sverige
3326124,182 70,Stocksund,Sverige
3393431,182 76,Stocksund,Sverige
3347378,182 76,Stocksund,Sverige
3347985,182 79,Stocksund,Sverige
3316360,183 30,Täby,Sverige
3412133,183 33,Täby,Sverige
3182415,183 36,Täby,Sverige
3197617,183 41,Täby,Sverige
3273604,183 55,Täby,Sverige
3323130,183 56,Täby,Sverige
3340775,183 56,Täby,Sverige
3291388,183 57,Täby,Sverige
3319770,183 60,Täby,Sverige
3360376,183 63,Täby,Sverige
3276446,183 63,Täby,Sverige
3199079,183 63,Täby,Sverige
3085618,183 66,Täby,Sverige
3151479,183 70,Täby,Sverige
3318116,183 77,Täby,Sverige
3369443,183 77,Täby,Sverige
3156663,184 30,Åkersberga,Sverige
3379758,184 31,Åkersberga,Sverige
3391704,184 32,Åkersberga,Sverige
3309765,184 37,Åkersberga,Sverige
3367071,184 38,Åkersberga,Sverige
3323448,184 41,Åkersberga,Sverige
3348878,184 44,Åkersberga,Sverige
3332159,184 51,Österskär,Sverige
3340792,184 52,Österskär,Sverige
3417479,184 60,Åkersberga,Sverige
3341616,184 61,Åkersberga,Sverige
3334098,184 91,Åkersberga,Sverige
3426033,184 94,Åkersberga,Sverige
3354809,184 94,Åkersberga,Sverige
3306385,185 31,Vaxholm,Sverige
3378741,185 33,Vaxholm,Sverige
3380080,185 34,Vaxholm,Sverige
3364203,185 34,Vaxholm,Sverige
3339504,185 34,Vaxholm,Sverige
3396175,185 34,Vaxholm,Sverige
3358085,185 39,Vaxholm,Sverige
3401302,185 39,Vaxholm,Sverige
3353271,185 39,Vaxholm,Sverige
3391650,185 51,Vaxholm,Sverige
3338102,185 95,Vaxholm,Sverige
3269983,186 32,Vallentuna,Sverige
3157018,186 35,Vallentuna,Sverige
3353509,186 40,Vallentuna,Sverige
3358331,186 41,Vallentuna,Sverige
3310757,186 43,Vallentuna,Sverige
3340736,186 43,Vallentuna,Sverige
3321928,186 46,Vallentuna,Sverige
3379857,186 46,Vallentuna,Sverige
3324023,186 47,Vallentuna,Sverige
3350472,186 47,Vallentuna,Sverige
3333380,186 50,Vallentuna,Sverige
3307328,186 50,Vallentuna,Sverige
3426534,186 50,Vallentuna,Sverige
3322312,186 50,Vallentuna,Sverige
3355409,186 50,Vallentuna,Sverige
3357284,186 50,Vallentuna,Sverige
3324641,186 53,Vallentuna,Sverige
3301698,186 53,Vallentuna,Sverige
3322927,186 53,Vallentuna,Sverige
3306297,186 55,Vallentuna,Sverige
3404921,186 55,Vallentuna,Sverige
3359141,186 55,Vallentuna,Sverige
3332596,186 70,Brottby,Sverige
3307060,186 70,Brottby,Sverige
3190095,186 70,Brottby,Sverige
3361755,186 70,Brottby,Sverige
3418216,186 91,Vallentuna,Sverige
3421627,186 91,Vallentuna,Sverige
3438831,186 92,Vallentuna,Sverige
3362104,186 92,Vallentuna,Sverige
3318424,186 94,Vallentuna,Sverige
3358190,186 94,Vallentuna,Sverige
3305009,186 94,Vallentuna,Sverige
3253292,186 94,Vallentuna,Sverige
3339735,186 94,Vallentuna,Sverige
3283415,186 95,Vallentuna,Sverige
3346152,187 30,Täby,Sverige
3370081,187 30,Täby,Sverige
3289239,187 30,Täby,Sverige
3320628,187 31,Täby,Sverige
3304331,187 31,Täby,Sverige
3388691,187 32,Täby,Sverige
3395704,187 32,Täby,Sverige
3243207,187 33,Täby,Sverige
3326707,187 34,Täby,Sverige
3401744,187 41,Täby,Sverige
3353295,187 41,Täby,Sverige
3373798,187 42,Täby,Sverige
3367366,187 42,Täby,Sverige
3370088,187 43,Täby,Sverige
3415478,187 43,Täby,Sverige
3312952,187 44,Täby,Sverige
3493759,187 44,Täby,Sverige
3414185,187 44,Täby,Sverige
3414183,187 44,Täby,Sverige
3395810,187 46,Täby,Sverige
3164698,187 47,Täby,Sverige
3346154,187 50,Täby,Sverige
3399625,187 51,Täby,Sverige
3336798,187 51,Täby,Sverige
3429570,187 52,Täby,Sverige
3306521,187 53,Täby,Sverige
3428214,187 53,Täby,Sverige
3309575,187 54,Täby,Sverige
3314594,187 54,Täby,Sverige
3362843,187 70,Täby,Sverige
3330638,187 73,Täby,Sverige
3342215,187 74,Täby,Sverige
3338550,187 76,Täby,Sverige
3329107,187 76,Täby,Sverige
3331618,187 77,Täby,Sverige
3352030,187 77,Täby,Sverige
3274187,187 77,Täby,Sverige
3342497,187 77,Täby,Sverige
3324060,191 33,Sollentuna,Sverige
3324064,191 34,Sollentuna,Sverige
3308974,191 34,Sollentuna,Sverige
3344138,191 35,Sollentuna,Sverige
3339258,191 35,Sollentuna,Sverige
3344017,191 37,Sollentuna,Sverige
3365926,191 38,Sollentuna,Sverige
3344022,191 38,Sollentuna,Sverige
3382573,191 38,Sollentuna,Sverige
3324068,191 39,Sollentuna,Sverige
3344042,191 39,Sollentuna,Sverige
3351645,191 39,Sollentuna,Sverige
3344020,191 39,Sollentuna,Sverige
3308993,191 39,Sollentuna,Sverige
3344018,191 39,Sollentuna,Sverige
3309114,191 39,Sollentuna,Sverige
3324083,191 39,Sollentuna,Sverige
3344037,191 40,Sollentuna,Sverige
3324107,191 40,Sollentuna,Sverige
3378175,191 41,Sollentuna,Sverige
3324093,191 41,Sollentuna,Sverige
3458770,191 43,Sollentuna,Sverige
3389458,191 43,Sollentuna,Sverige
3324091,191 43,Sollentuna,Sverige
3406473,191 44,Sollentuna,Sverige
3333788,191 44,Sollentuna,Sverige
3383638,191 44,Sollentuna,Sverige
3324071,191 45,Sollentuna,Sverige
3292397,191 45,Sollentuna,Sverige
3324061,191 45,Sollentuna,Sverige
3344035,191 45,Sollentuna,Sverige
3344157,191 45,Sollentuna,Sverige
3382554,191 46,Sollentuna,Sverige
3333787,191 46,Sollentuna,Sverige
3265697,191 48,Sollentuna,Sverige
3313155,191 49,Sollentuna,Sverige
3226681,191 49,Sollentuna,Sverige
3344212,191 60,Sollentuna,Sverige
3358360,191 62,Sollentuna,Sverige
3346459,191 62,Sollentuna,Sverige
3308971,191 63,Sollentuna,Sverige
3327052,191 63,Sollentuna,Sverige
3343901,191 63,Sollentuna,Sverige
3292341,191 63,Sollentuna,Sverige
3204327,191 64,Sollentuna,Sverige
3352100,192 48,Sollentuna,Sverige
3344023,192 51,Sollentuna,Sverige
3263154,192 51,Sollentuna,Sverige
3409609,192 51,Sollentuna,Sverige
3344516,192 51,Sollentuna,Sverige
3278267,192 51,Sollentuna,Sverige
3308982,192 54,Sollentuna,Sverige
3383702,192 55,Sollentuna,Sverige
3358960,192 55,Sollentuna,Sverige
3231521,192 56,Sollentuna,Sverige
3348283,192 65,Sollentuna,Sverige
3354474,192 65,Sollentuna,Sverige
3293038,192 65,Sollentuna,Sverige
3340375,192 67,Sollentuna,Sverige
3292392,192 67,Sollentuna,Sverige
3375887,192 70,Sollentuna,Sverige
3197071,192 71,Sollentuna,Sverige
3357324,192 72,Sollentuna,Sverige
3419916,192 72,Sollentuna,Sverige
3218716,192 73,Sollentuna,Sverige
3360714,192 73,Sollentuna,Sverige
3313147,192 73,Sollentuna,Sverige
3360403,192 74,Sollentuna,Sverige
3344844,192 74,Sollentuna,Sverige
3313160,192 74,Sollentuna,Sverige
3313158,192 74,Sollentuna,Sverige
3310588,192 75,Sollentuna,Sverige
3327748,192 75,Sollentuna,Sverige
3322569,192 75,Sollentuna,Sverige
3351884,192 76,Sollentuna,Sverige
3346436,193 49,Sigtuna,Sverige
3347553,194 39,Upplands Väsby,Sverige
3403195,194 39,Upplands Väsby,Sverige
3347580,194 44,Upplands Väsby,Sverige
3394410,194 47,Upplands Väsby,Sverige
3334298,194 47,Upplands Väsby,Sverige
3362297,194 55,Upplands Väsby,Sverige
3372493,194 63,Upplands Väsby,Sverige
3396339,194 65,Upplands Väsby,Sverige
3324740,194 66,Upplands Väsby,Sverige
3382175,194 68,Upplands Väsby,Sverige
3345055,194 68,Upplands Väsby,Sverige
3328466,194 68,Upplands Väsby,Sverige
3325366,194 69,Upplands Väsby,Sverige
3373673,194 91,Upplands Väsby,Sverige
3265742,194 92,Upplands Väsby,Sverige
3279951,194 92,Upplands Väsby,Sverige
3153830,195 92,Märsta,Sverige
3098088,195 92,Märsta,Sverige
3271713,195 92,Märsta,Sverige
3271714,195 92,Märsta,Sverige
3305659,196 37,Kungsängen,Sverige
3319742,196 93,Kungsängen,Sverige
3316283,197 36,Bro,Sverige
3271907,197 91,Bro,Sverige
3334471,197 92,Bro,Sverige
3037406,211 12,Malmö,Sverige
3335558,211 17,Malmö,Sverige
3201703,211 17,Malmö,Sverige
3253624,211 17,Malmö,Sverige
3202042,211 17,Malmö,Sverige
3341728,211 28,Malmö,Sverige
3378373,211 30,Malmö,Sverige
3368704,211 42,Malmö,Sverige
3369365,211 43,Malmö,Sverige
3375945,211 44,Malmö,Sverige
3377006,211 55,Malmö,Sverige
3371249,211 56,Malmö,Sverige
3216815,211 75,Malmö,Sverige
3379159,211 75,Malmö,Sverige
3228552,212 14,Malmö,Sverige
3219837,212 17,Malmö,Sverige
3414806,212 23,Malmö,Sverige
3411122,212 28,Malmö,Sverige
3384610,212 29,Malmö,Sverige
3205847,212 29,Malmö,Sverige
3330535,212 29,Malmö,Sverige
3345346,212 30,Malmö,Sverige
3370371,212 30,Malmö,Sverige
3365052,212 30,Malmö,Sverige
3345356,212 30,Malmö,Sverige
3364134,212 30,Malmö,Sverige
3217846,212 32,Malmö,Sverige
3360306,212 33,Malmö,Sverige
3485951,212 34,Malmö,Sverige
3175993,212 50,Malmö,Sverige
3080543,214 22,Malmö,Sverige
3211743,214 23,Malmö,Sverige
3243355,214 29,Malmö,Sverige
3190665,214 32,Malmö,Sverige
3216049,214 35,Malmö,Sverige
3147535,214 44,Malmö,Sverige
3367866,215 65,Malmö,Sverige
3395515,215 67,Malmö,Sverige
3487523,215 80,Malmö,Sverige
3437949,216 15,Limhamn,Sverige
3362875,216 18,Limhamn,Sverige
3337025,216 18,Limhamn,Sverige
3354274,216 19,Malmö,Sverige
3366712,216 19,Malmö,Sverige
3277386,216 20,Malmö,Sverige
3378005,216 20,Malmö,Sverige
3357153,216 21,Malmö,Sverige
3406343,216 21,Malmö,Sverige
3362733,216 22,Limhamn,Sverige
3320496,216 22,Limhamn,Sverige
3304121,216 22,Limhamn,Sverige
3355886,216 22,Limhamn,Sverige
3247873,216 31,Limhamn,Sverige
3340498,217 41,Malmö,Sverige
3295485,217 41,Malmö,Sverige
3306472,217 41,Malmö,Sverige
3321513,217 58,Malmö,Sverige
3409513,217 64,Malmö,Sverige
3390341,217 71,Malmö,Sverige
3386073,217 72,Malmö,Sverige
3317854,217 73,Malmö,Sverige
3376426,217 74,Malmö,Sverige
3346375,218 31,Bunkeflostrand,Sverige
3319343,218 31,Bunkeflostrand,Sverige
3385355,218 31,Bunkeflostrand,Sverige
3319341,218 31,Bunkeflostrand,Sverige
3311576,218 32,Bunkeflostrand,Sverige
3355820,218 36,Bunkeflostrand,Sverige
3325233,218 37,Bunkeflostrand,Sverige
3367087,218 38,Bunkeflostrand,Sverige
3311571,218 38,Bunkeflostrand,Sverige
3351167,218 42,Bunkeflostrand,Sverige
3390906,218 42,Bunkeflostrand,Sverige
3210017,218 51,Klagshamn,Sverige
3283937,218 51,Klagshamn,Sverige
3385245,218 53,Klagshamn,Sverige
3326145,218 54,Klagshamn,Sverige
3298230,218 71,Tygelsjö,Sverige
3396330,218 71,Tygelsjö,Sverige
3372969,218 72,Tygelsjö,Sverige
3314272,218 73,Tygelsjö,Sverige
3351619,218 73,Tygelsjö,Sverige
3008254,218 73,Tygelsjö,Sverige
3371215,222 23,Lund,Sverige
3363955,222 24,Lund,Sverige
3325882,222 26,Lund,Sverige
3365755,222 26,Lund,Sverige
3383941,222 26,Lund,Sverige
3357665,222 39,Lund,Sverige
3343110,222 40,Lund,Sverige
3363572,222 41,Lund,Sverige
3186614,222 41,Lund,Sverige
3382476,222 41,Lund,Sverige
3407076,222 70,Lund,Sverige
3211422,223 50,Lund,Sverige
3270135,223 51,Lund,Sverige
3246415,223 54,Lund,Sverige
3246732,223 59,Lund,Sverige
3216071,223 63,Lund,Sverige
3258338,223 63,Lund,Sverige
3229935,223 63,Lund,Sverige
3247255,223 64,Lund,Sverige
3347635,224 56,Lund,Sverige
3381478,224 56,Lund,Sverige
3302396,224 58,Lund,Sverige
3259995,224 58,Lund,Sverige
3239310,224 58,Lund,Sverige
3413866,224 65,Lund,Sverige
3273980,224 65,Lund,Sverige
3339807,224 66,Lund,Sverige
3381365,224 66,Lund,Sverige
3331306,224 66,Lund,Sverige
3326685,224 67,Lund,Sverige
3247404,224 67,Lund,Sverige
3387646,224 67,Lund,Sverige
3359263,224 67,Lund,Sverige
3365562,224 68,Lund,Sverige
3427551,224 68,Lund,Sverige
3378734,224 68,Lund,Sverige
3329130,224 72,Lund,Sverige
3365127,224 73,Lund,Sverige
3247167,224 73,Lund,Sverige
3311627,224 74,Lund,Sverige
3381433,224 75,Lund,Sverige
3276713,224 79,Lund,Sverige
3379460,224 80,Lund,Sverige
3280910,224 80,Lund,Sverige
3348996,224 80,Lund,Sverige
3373436,224 82,Lund,Sverige
3246127,224 88,Lund,Sverige
3420723,226 38,Lund,Sverige
3256534,226 44,Lund,Sverige
3246919,226 47,Lund,Sverige
3375644,226 47,Lund,Sverige
3405089,226 48,Lund,Sverige
3239460,226 48,Lund,Sverige
3380492,226 49,Lund,Sverige
3326689,226 50,Lund,Sverige
3326681,226 51,Lund,Sverige
3355534,226 52,Lund,Sverige
3325505,226 53,Lund,Sverige
3350948,226 55,Lund,Sverige
3352968,226 55,Lund,Sverige
3375217,226 56,Lund,Sverige
3296211,227 30,Lund,Sverige
3334054,227 31,Lund,Sverige
3444427,227 33,Lund,Sverige
3317776,227 33,Lund,Sverige
3408343,227 34,Lund,Sverige
3446894,227 35,Lund,Sverige
3387801,227 35,Lund,Sverige
3301729,227 36,Lund,Sverige
3241593,227 36,Lund,Sverige
3401939,227 36,Lund,Sverige
3363440,227 38,Lund,Sverige
3438511,227 62,Lund,Sverige
3370019,227 62,Lund,Sverige
3340564,231 32,Trelleborg,Sverige
3332197,231 38,Trelleborg,Sverige
3319470,231 38,Trelleborg,Sverige
3334023,231 38,Trelleborg,Sverige
3303213,231 45,Trelleborg,Sverige
3308844,231 55,Trelleborg,Sverige
3200622,231 55,Trelleborg,Sverige
3009176,231 62,Trelleborg,Sverige
3308845,231 66,Trelleborg,Sverige
3019746,231 66,Trelleborg,Sverige
3423659,231 93,Trelleborg,Sverige
3397843,232 31,Arlöv,Sverige
3309079,232 34,Arlöv,Sverige
3192798,232 51,Åkarp,Sverige
3355216,232 53,Åkarp,Sverige
3329223,232 53,Åkarp,Sverige
3362864,232 53,Åkarp,Sverige
3363123,232 53,Åkarp,Sverige
3008456,232 54,Åkarp,Sverige
3350323,232 54,Åkarp,Sverige
3475242,232 54,Åkarp,Sverige
3333175,233 33,Svedala,Sverige
3361795,233 35,Svedala,Sverige
3094210,233 42,Svedala,Sverige
3123410,233 43,Svedala,Sverige
3371268,233 65,Bara,Sverige
3331714,233 75,Klågerup,Sverige
3357942,233 75,Klågerup,Sverige
3369897,233 76,Klågerup,Sverige
3009325,233 76,Klågerup,Sverige
3325865,233 92,Svedala,Sverige
3009078,233 92,Svedala,Sverige
3329376,233 92,Svedala,Sverige
3359219,233 92,Svedala,Sverige
3391001,233 93,Svedala,Sverige
3505531,233 93,Svedala,Sverige
3360353,234 35,Lomma,Sverige
3286031,234 35,Lomma,Sverige
3299430,234 37,Lomma,Sverige
3332324,234 37,Lomma,Sverige
3325152,234 38,Lomma,Sverige
3330758,234 38,Lomma,Sverige
3377116,234 38,Lomma,Sverige
3401292,234 38,Lomma,Sverige
3360012,234 38,Lomma,Sverige
3366861,234 39,Lomma,Sverige
3246770,234 39,Lomma,Sverige
3363907,234 40,Lomma,Sverige
3316387,234 41,Lomma,Sverige
3379410,234 43,Lomma,Sverige
3177662,235 31,Vellinge,Sverige
3363187,235 33,Vellinge,Sverige
3331962,235 36,Vellinge,Sverige
3294973,235 37,Vellinge,Sverige
3341563,235 38,Vellinge,Sverige
3362073,235 38,Vellinge,Sverige
3362095,235 38,Vellinge,Sverige
3325870,235 41,Vellinge,Sverige
3416313,235 41,Vellinge,Sverige
3385277,235 41,Vellinge,Sverige
3201477,235 99,Vellinge,Sverige
3338555,235 99,Vellinge,Sverige
3284173,235 99,Vellinge,Sverige
3345362,236 31,Höllviken,Sverige
3389395,236 42,Höllviken,Sverige
3467682,237 34,Bjärred,Sverige
3342484,237 35,Bjärred,Sverige
3340678,237 36,Bjärred,Sverige
3322438,237 36,Bjärred,Sverige
3342084,237 37,Bjärred,Sverige
3323576,237 41,Bjärred,Sverige
3309513,237 42,Bjärred,Sverige
3260280,238 41,Oxie,Sverige
3251223,238 41,Oxie,Sverige
3247090,241 32,Eslöv,Sverige
3363327,241 34,Eslöv,Sverige
3364124,241 34,Eslöv,Sverige
3307753,241 35,Eslöv,Sverige
3341044,241 36,Eslöv,Sverige
3382967,241 37,Eslöv,Sverige
3250891,241 38,Eslöv,Sverige
3366103,241 38,Eslöv,Sverige
3367123,241 64,Harlösa,Sverige
3336910,241 71,Marieholm,Sverige
3345205,241 93,Eslöv,Sverige
3304016,241 93,Eslöv,Sverige
3008740,241 94,Hurva,Sverige
3311629,242 93,Hörby,Sverige
3241764,243 30,Höör,Sverige
3325345,243 32,Höör,Sverige
3325344,243 32,Höör,Sverige
3364597,243 32,Höör,Sverige
3303628,243 35,Höör,Sverige
3296685,243 36,Höör,Sverige
3420240,243 36,Höör,Sverige
3393019,243 71,Tjörnarp,Sverige
3312933,243 91,Höör,Sverige
3245922,244 30,Kävlinge,Sverige
3184236,244 31,Kävlinge,Sverige
3245709,244 32,Kävlinge,Sverige
3323946,244 39,Kävlinge,Sverige
3343404,244 41,Kävlinge,Sverige
3353796,244 60,Furulund,Sverige
3307668,244 62,Furulund,Sverige
3374641,244 62,Furulund,Sverige
3343413,244 65,Furulund,Sverige
3302579,244 65,Furulund,Sverige
3277985,244 65,Furulund,Sverige
3343423,244 65,Furulund,Sverige
3367733,244 65,Furulund,Sverige
3338181,244 65,Furulund,Sverige
3400262,244 66,Furulund,Sverige
3343817,244 66,Furulund,Sverige
3395117,244 66,Furulund,Sverige
3361686,244 66,Furulund,Sverige
3363401,244 91,Kävlinge,Sverige
3386396,244 91,Kävlinge,Sverige
3245396,244 91,Kävlinge,Sverige
3389339,245 31,Staffanstorp,Sverige
3361693,245 35,Staffanstorp,Sverige
3319523,245 35,Staffanstorp,Sverige
3283455,245 37,Staffanstorp,Sverige
3351039,245 38,Staffanstorp,Sverige
3283441,245 38,Staffanstorp,Sverige
3331309,245 38,Staffanstorp,Sverige
3331312,245 38,Staffanstorp,Sverige
3335816,245 41,Staffanstorp,Sverige
3335815,245 41,Staffanstorp,Sverige
3331311,245 42,Staffanstorp,Sverige
3416148,245 42,Staffanstorp,Sverige
3258864,245 42,Staffanstorp,Sverige
3259703,245 42,Staffanstorp,Sverige
3258817,245 42,Staffanstorp,Sverige
3374884,245 44,Staffanstorp,Sverige
3343430,245 44,Staffanstorp,Sverige
3365802,245 44,Staffanstorp,Sverige
3444422,245 44,Staffanstorp ,Sverige
3344815,245 44,Staffanstorp,Sverige
3302603,245 62,Hjärup,Sverige
3347619,245 63,Hjärup,Sverige
3347620,245 63,Hjärup,Sverige
3243328,245 92,Staffanstorp,Sverige
3325934,245 92,Staffanstorp,Sverige
3119260,245 93,Staffanstorp,Sverige
3325935,245 93,Staffanstorp,Sverige
3356821,246 30,Löddeköpinge,Sverige
3309510,246 31,Löddeköpinge,Sverige
3366927,246 32,Löddeköpinge,Sverige
3260885,246 33,Löddeköpinge,Sverige
3273894,246 34,Löddeköpinge,Sverige
3380626,246 50,Löddeköpinge,Sverige
3380624,246 50,Löddeköpinge,Sverige
3309106,247 32,Södra Sandby,Sverige
3293110,247 32,Södra Sandby,Sverige
3396220,247 33,Södra Sandby,Sverige
3292609,247 34,Södra Sandby,Sverige
3371131,247 34,Södra Sandby,Sverige
3313857,247 34,Södra Sandby,Sverige
3316506,247 34,Södra Sandby,Sverige
3332421,247 34,Södra Sandby,Sverige
3292612,247 35,Södra Sandby,Sverige
3309109,247 36,Södra Sandby,Sverige
3451529,247 51,Dalby,Sverige
3328923,247 51,Dalby,Sverige
3356950,247 52,Dalby,Sverige
3328940,247 52,Dalby,Sverige
3336759,247 52,Dalby,Sverige
3412530,247 52,Dalby,Sverige
3334150,247 53,Dalby,Sverige
3329707,247 53,Dalby,Sverige
3296993,247 53,Dalby,Sverige
3328985,247 53,Dalby,Sverige
3311407,247 53,Dalby,Sverige
3372547,247 54,Dalby,Sverige
3351398,247 55,Dalby,Sverige
3335276,247 55,Dalby,Sverige
3329706,247 55,Dalby,Sverige
3361865,247 55,Dalby,Sverige
3460657,247 55,Dalby,Sverige
3355911,247 55,Dalby,Sverige
3386859,247 55,Dalby,Sverige
3007591,247 55,Dalby,Sverige
3386856,247 55,Dalby,Sverige
3386862,247 55,Dalby,Sverige
3421219,247 56,Dalby,Sverige
3428576,247 60,Veberöd,Sverige
3184246,247 61,Veberöd,Sverige
3399471,247 61,Veberöd,Sverige
3343327,247 62,Veberöd,Sverige
3401437,247 63,Veberöd,Sverige
3306982,247 64,Veberöd,Sverige
3377209,247 94,Dalby,Sverige
3372474,247 94,Dalby,Sverige
3349984,247 94,Dalby,Sverige
3307494,247 96,Veberöd,Sverige
3246908,247 96,Veberöd,Sverige
3310802,247 97,Flyinge,Sverige
3319658,247 99,Genarp,Sverige
3267173,252 21,Helsingborg,Sverige
3401373,252 30,Helsingborg,Sverige
3246873,252 44,Helsingborg,Sverige
3349136,252 49,Helsingborg,Sverige
3302898,252 50,Helsingborg,Sverige
3394016,252 51,Helsingborg,Sverige
3281624,252 51,Helsingborg,Sverige
3365103,252 52,Helsingborg,Sverige
3379076,252 63,Helsingborg,Sverige
3373701,252 69,Råå,Sverige
3325908,252 73,Gantofta,Sverige
3447867,252 76,Helsingborg,Sverige
3264691,253 41,Vallåkra,Sverige
3386453,253 42,Vallåkra,Sverige
3230568,253 42,Vallåkra,Sverige
3481708,253 52,Påarp,Sverige
3318226,253 52,Påarp,Sverige
3311214,253 52,Påarp,Sverige
3310121,253 53,Påarp,Sverige
3340926,253 54,Mörarp,Sverige
3333527,253 54,Mörarp,Sverige
3377240,253 55,Mörarp,Sverige
3412029,253 56,Mörarp,Sverige
3310180,253 62,Helsingborg,Sverige
3383283,253 73,Gantofta,Sverige
3257584,254 40,Helsingborg,Sverige
3351160,254 49,Helsingborg,Sverige
3338280,254 54,Helsingborg,Sverige
3341783,254 74,Ödåkra,Sverige
3357643,254 83,Helsingborg,Sverige
3358848,256 54,Ramlösa,Sverige
3338033,256 55,Helsingborg,Sverige
3217575,256 55,Helsingborg,Sverige
3492182,256 56,Helsingborg,Sverige
3389878,256 56,Helsingborg,Sverige
3355269,256 57,Ramlösa,Sverige
3335716,257 30,Rydebäck,Sverige
3314748,257 30,Rydebäck,Sverige
3384635,257 30,Rydebäck,Sverige
3398161,257 30,Rydebäck,Sverige
3325706,257 30,Rydebäck,Sverige
3329260,257 31,Rydebäck,Sverige
3298745,257 31,Rydebäck,Sverige
3384641,257 31,Rydebäck,Sverige
3346646,257 31,Rydebäck,Sverige
3301991,257 32,Rydebäck,Sverige
3203911,257 32,Rydebäck,Sverige
3204043,257 32,Rydebäck,Sverige
3345853,257 33,Rydebäck,Sverige
3298747,257 33,Rydebäck,Sverige
3009825,257 33,Rydebäck,Sverige
3301992,257 33,Rydebäck,Sverige
3345856,257 33,Rydebäck,Sverige
3334040,257 33,Rydebäck,Sverige
3346660,257 33,Rydebäck,Sverige
3309253,257 34,Rydebäck,Sverige
3228043,261 32,Landskrona,Sverige
3349598,261 38,Landskrona,Sverige
3316090,261 38,Landskrona,Sverige
3364067,261 41,Landskrona,Sverige
3245093,261 42,Landskrona,Sverige
3406604,261 47,Landskrona,Sverige
3418069,261 61,Landskrona,Sverige
3409353,261 62,Glumslöv,Sverige
3407614,261 62,Glumslöv,Sverige
3448716,261 62,Glumslöv,Sverige
3322556,261 72,Häljarp,Sverige
3302601,261 73,Häljarp,Sverige
3331149,261 73,Häljarp,Sverige
3360861,261 75,Assmundtorp,Sverige
3360672,261 75,Assmundtorp,Sverige
3302465,262 36,Ängelholm,Sverige
3374741,262 53,Ängelholm,Sverige
3218213,262 60,Ängelholm,Sverige
3345464,262 62,Ängelholm,Sverige
3443019,262 63,Ängelholm,Sverige
3393999,262 73,Ängelholm,Sverige
3312117,263 34,Höganäs,Sverige
3328906,263 34,Höganäs,Sverige
3377596,263 36,Höganäs,Sverige
3377607,263 36,Höganäs,Sverige
3365284,263 36,Höganäs,Sverige
3322152,263 37,Höganäs,Sverige
3468998,263 39,Höganäs,Sverige
3357993,263 53,Lerberget,Sverige
3363501,263 54,Lerberget,Sverige
3357997,263 54,Lerberget,Sverige
3365288,263 54,Lerberget,Sverige
3260956,263 57,Höganäs,Sverige
3334629,263 64,Viken,Sverige
3310956,263 71,Jonstorp,Sverige
3347233,263 71,Jonstorp,Sverige
3019871,263 71,Jonstorp,Sverige
3397255,263 71,Jonstorp,Sverige
3377600,263 73,Arild,Sverige
3330478,263 76,Nyhamnsläge,Sverige
3104947,263 94,Mjöhult,Sverige
3202579,263 94,Mjöhult,Sverige
3438112,263 94,Mjöhult,Sverige
3365287,263 94,Mjöhult,Sverige
3300018,263 95,Farhult,Sverige
3338284,263 95,Farhult,Sverige
3317447,263 95,Farhult,Sverige
3347266,263 95,Farhult,Sverige
3294220,263 95,Mjöhult,Sverige
3354300,264 35,Klippan,Sverige
3357201,264 36,klippan,Sverige
3357989,264 70,Klippan,Sverige
3358319,264 71,Östra Ljungby,Sverige
3327601,264 92,Klippan,Sverige
3322244,264 94,Klippan,Sverige
3245087,265 71,Kvidinge,Sverige
3338233,265 74,Hyllinge,Sverige
